id,page_id,section_type,title_ar,title_en,content_ar,content_en,image_url,cta_text_ar,cta_text_en,cta_url,sort_order,status,created_at,updated_at
1,1,hero,المعلم الملهم لرؤية طموحة 2030,Inspiring Teacher for Ambitious Vision 2030,"المعهد الوطني للتطوير المهني التعليمي - رائد وشريك استراتيجي في بناء القدرات التعليمية. نحن نؤمن بالدور المحوري للمعلم في تحقيق التحول الوطني الشامل ضمن رؤية المملكة 2030.","National Institute for Educational Professional Development - Leading strategic partner in building educational capacities. We believe in the pivotal role of teachers in achieving comprehensive national transformation within Saudi Vision 2030.",/images/hero-banner.jpg,استكشف برامجنا,Explore Our Programs,/programs,1,published,2024-01-01,2024-01-01
2,1,features,قيمنا الجوهرية,Our Core Values,"نعمل وفق ثلاث ركائز أساسية: الثقة - نقدم تعليماً موثوقاً يلبي تطلعات المستقبل، التكامل - نبني منظومة تعاونية مع كافة الشركاء، الابتكار - نطور قدرات مرنة تواكب التطورات العالمية.","We operate on three fundamental pillars: Trust - We provide reliable education that meets future aspirations, Integration - We build a collaborative ecosystem with all partners, Innovation - We develop flexible capabilities that keep pace with global developments.",,,,/about,2,published,2024-01-01,2024-01-01
3,1,stats,إنجازاتنا بالأرقام,Our Achievements in Numbers,"منذ انطلاقنا في 2021، قدمنا برامج تطوير مهني متنوعة لآلاف المعلمين والقيادات التعليمية في جميع مناطق المملكة، بالشراكة مع أفضل الخبرات المحلية والعالمية.","Since our launch in 2021, we have provided diverse professional development programs to thousands of teachers and educational leaders across all regions of the Kingdom, in partnership with the best local and international expertise.",,,,/programs,3,published,2024-01-01,2024-01-01
4,1,news_highlight,آخر الأخبار,Latest News,"إطلاق برنامج إعداد المعلم المرحلة الثانية، وبرنامج تنمية الكفايات المهنية للمعلمين في منهجية STEM، ولقاءات تطويرية متخصصة للقيادات التعليمية.","Launch of Teacher Preparation Program Phase Two, Professional Competencies Development Program for Teachers in STEM Methodology, and specialized development sessions for educational leaders.",/images/latest-news.jpg,اقرأ المزيد,Read More,/news,4,published,2024-01-01,2024-01-01
5,2,intro,عن المعهد,About the Institute,"المعهد الوطني للتطوير المهني التعليمي (NIEPD) هو جهة حكومية سعودية تابعة لوزارة التعليم، تهدف إلى إعداد وتطوير المعلمين والقيادات التعليمية في المملكة العربية السعودية.","The National Institute for Educational Professional Development (NIEPD) is a Saudi government entity affiliated with the Ministry of Education, aimed at preparing and developing teachers and educational leaders in the Kingdom of Saudi Arabia.",,,,/programs,1,published,2024-01-01,2024-01-01
6,2,establishment,التأسيس والتاريخ,Establishment & History,"تأسس المعهد في 5 نوفمبر 2019م (1441هـ) بقرار مجلس الوزراء رقم (197) وتاريخ 1441/3/8هـ، كجهة مستقلة ماليًا وإداريًا تابعة تنظيميًا لوزير التعليم. بدأ تقديم برامجه في عام 2021م لتحقيق أهداف برنامج تنمية القدرات البشرية ضمن رؤية 2030.","The Institute was established on November 5, 2019 (1441 AH) by Cabinet Resolution No. (197) dated 1441/3/8 AH, as a financially and administratively independent entity organizationally affiliated with the Minister of Education. It began offering its programs in 2021 to achieve the objectives of the Human Capacity Development Program within Vision 2030.",,,,/history,2,published,2024-01-01,2024-01-01
7,7,vision,الرؤية,Vision,رائد وشريك استراتيجي في بناء القدرات التعليمية,Leading strategic partner in building educational capacities,,,,/programs,1,published,2024-01-01,2024-01-01
8,7,mission,الرسالة,Mission,"تحقيق الريادة في إعداد وتطوير القدرات التعليمية بتبني أفضل الاتجاهات والممارسات الحديثة للمساهمة في بناء أجيال منافسة عالميًا. يركز على إعداد المعلمين وتطويرهم، واستكشاف القيادات التعليمية وتطويرها.","Achieving leadership in preparing and developing educational capacities by adopting the best modern trends and practices to contribute to building globally competitive generations. It focuses on preparing and developing teachers, and discovering and developing educational leaders.",,,,/programs,2,published,2024-01-01,2024-01-01
9,7,objectives,الأهداف الرئيسية,Main Objectives,"تحسين مخرجات التعليم الأساسية وتكافؤ فرص الحصول على التعليم، بناء رحلة تعليمية متكاملة وبناء منظومة تطوير مهني فعالة، تحفيز التطوير المهني الذاتي للمعلمين وإكسابهم معارف ومهارات متنوعة، توفير فرص تطوير مهني مرنة حسب الوقت والمكان.","Improving basic education outcomes and equal access to education, building an integrated educational journey and effective professional development system, stimulating teachers' self-professional development and providing them with diverse knowledge and skills, providing flexible professional development opportunities according to time and place.",,,,/programs,3,published,2024-01-01,2024-01-01
10,8,board,مجلس الإدارة,Board of Directors,"يتكون مجلس الإدارة من 11 عضوًا على الأقل، برئاسة وزير التعليم أو من ينيبه، ويشمل ممثلين عن الجهات ذات العلاقة. يجتمع المجلس مرة كل 3 أشهر على الأقل، ويصدر قراراته بأغلبية الأصوات.","The Board of Directors consists of at least 11 members, chaired by the Minister of Education or his representative, and includes representatives from relevant entities. The Board meets at least once every 3 months and issues its decisions by majority vote.",,,,/about,1,published,2024-01-01,2024-01-01
11,8,management,الإدارة التنفيذية,Executive Management,"يُعين المدير العام بقرار من الوزير، ويُشرف على تنفيذ السياسات والبرامج، ويُقدم تقارير سنوية للمجلس. المدير العام الحالي هو الدكتور بدر بن شجاع الحربي.","The Director General is appointed by a decision from the Minister, supervises the implementation of policies and programs, and submits annual reports to the Board. The current Director General is Dr. Badr bin Shuja Al-Harbi.",,,,/about,2,published,2024-01-01,2024-01-01
12,10,teacher_effective,مسار المعلم الفاعل,Effective Teacher Track,"يمثل هذا المسار نقطة انطلاق أساسية، حيث يزود المعلمين بمهارات جوهرية في مجالات التعليم والتقنية والتقويم. ويشتمل على برامج نوعية مثل التعلم الجديد: مبادئ وأنماط علم أصول التدريس، وأسس التعليم من أجل التعلم، والتدريس العملي باستخدام التكنولوجيا.","This track represents a fundamental starting point, providing teachers with essential skills in education, technology, and assessment. It includes quality programs such as New Learning: Principles and Patterns of Pedagogy, Foundations of Teaching for Learning, and Practical Teaching Using Technology.",,سجل الآن,Register Now,https://niepd.futurex.sa/courses,1,published,2024-01-01,2024-01-01
13,10,teacher_preparation,برنامج إعداد المعلم,Teacher Preparation Program,"يُعد هذا البرنامج مبادرة استراتيجية ضخمة تهدف إلى إحداث نقلة نوعية في تأهيل المعلمين الجدد. يتم تنفيذه بالشراكة مع المعهد الوطني للتعليم (NIE) في سنغافورة، وهو مصمم لنقل أفضل الممارسات العالمية إلى المملكة.","This program is a major strategic initiative aimed at creating a qualitative leap in qualifying new teachers. It is implemented in partnership with the National Institute of Education (NIE) in Singapore, and is designed to transfer global best practices to the Kingdom.",,سجل الآن,Register Now,https://niepd.futurex.sa/courses,2,published,2024-01-01,2024-01-01
14,10,pisa_skills,برامج المهارات للمنافسة العالمية,Skills Programs for Global Competition,"استجابةً للحاجة الملحة لرفع أداء الطلاب في الاختبارات الدولية، يقدم المعهد برامج متخصصة لتعزيز المهارات الأساسية في القراءة والرياضيات والعلوم المستهدفة في البرنامج الدولي لتقييم الطلبة (PISA).","In response to the urgent need to improve student performance in international tests, the Institute offers specialized programs to enhance basic skills in reading, mathematics, and science targeted in the Programme for International Student Assessment (PISA).",,سجل الآن,Register Now,https://niepd.futurex.sa/courses,3,published,2024-01-01,2024-01-01
15,11,leadership_skills,مهارات أساسية للقيادات التعليمية,Essential Skills for Educational Leaders,"يستهدف القادة الحاليين والطموحين، ويتميز باعتماده على محتوى عالمي المستوى من جامعات مرموقة مثل جامعة كاليفورنيا وجامعة كولورادو. يغطي كفاءات قيادية حديثة تشمل القيادة الحديثة للمدارس، والذكاء العاطفي للقيادات، والقيادة الرشيقة.","Targets current and aspiring leaders, distinguished by its reliance on world-class content from prestigious universities such as the University of California and the University of Colorado. It covers modern leadership competencies including modern school leadership, emotional intelligence for leaders, and agile leadership.",,سجل الآن,Register Now,https://niepd.futurex.sa/courses,1,published,2024-01-01,2024-01-01
16,12,special_education,مهارات داعمة في تدريس التربية الخاصة,Supporting Skills in Special Education Teaching,"برنامج متخصص يهدف إلى تزويد المعلمين بالمهارات اللازمة لتدريس الطلاب ذوي الاحتياجات الخاصة، ويشمل استراتيجيات التدريس المتخصصة والتدخل المبكر.","A specialized program aimed at providing teachers with the necessary skills to teach students with special needs, including specialized teaching strategies and early intervention.",,سجل الآن,Register Now,https://niepd.futurex.sa/courses,1,published,2024-01-01,2024-01-01
17,12,chinese_language,أساسيات في اللغة الصينية,Fundamentals of Chinese Language,"برنامج مخصص لمعلمي المرحلة الثانوية، يهدف إلى تعليم أساسيات اللغة الصينية استجابة للعلاقات الاقتصادية والجيوسياسية المتنامية للمملكة.","A program designed for high school teachers, aimed at teaching the fundamentals of Chinese language in response to the Kingdom's growing economic and geopolitical relations.",,سجل الآن,Register Now,https://niepd.futurex.sa/courses,2,published,2024-01-01,2024-01-01
18,12,stem_competencies,تنمية الكفايات المهنية في منهجية STEM,Professional Competencies Development in STEM Methodology,"برنامج يهدف إلى تطوير قدرات المعلمين في تطبيق منهجية STEM (العلوم والتكنولوجيا والهندسة والرياضيات) بالشراكة مع مجموعة السليمان الخيرية ومركز القصيم العلمي.","A program aimed at developing teachers' capabilities in applying STEM (Science, Technology, Engineering, and Mathematics) methodology in partnership with Al-Sulaiman Charitable Group and Qassim Scientific Center.",,سجل الآن,Register Now,https://niepd.futurex.sa/courses,3,published,2024-01-01,2024-01-01
